molecule_chembl_id,canonical_smiles,standard_value
CHEMBL522325,Cc1cc(Nc2ccc(C#N)c(C(F)(F)F)c2)n2ncnc2n1,4900.0
CHEMBL492719,Cc1cc(Nc2ccc(C)c(F)c2)n2ncnc2n1,860.0
CHEMBL492720,Cc1cc(Nc2ccc(C(F)(F)F)c(F)c2)n2ncnc2n1,77.0
CHEMBL444928,Cc1cc(Nc2ccccc2F)n2ncnc2n1,100000.0
CHEMBL475813,Cc1cc(Nc2ccc3ccccc3c2)n2ncnc2n1,47.0
CHEMBL475814,Cc1cc(Nc2ccc3cc4ccccc4cc3c2)n2ncnc2n1,56.0
CHEMBL446825,Cc1cc(Nc2ccccc2)n2ncnc2n1,100000.0
CHEMBL449358,Cc1cc(Nc2cccc3ccccc23)n2ncnc2n1,45000.0
CHEMBL484305,Cc1cc(Nc2ccc3c(=O)cc(C)oc3c2)n2ncnc2n1,2000.0
CHEMBL487518,Cc1cc(Nc2cc3ccccc3cc2O)n2ncnc2n1,330.0
CHEMBL451880,Cc1cc(Nc2ccc3ncccc3c2)n2ncnc2n1,1200.0
CHEMBL503135,Cc1cc(Nc2cnc3ccccc3c2)n2ncnc2n1,1700.0
CHEMBL487517,Cc1cc(Nc2ccc(C(N)=O)cc2)n2ncnc2n1,200000.0
CHEMBL486697,Cc1cc(N(Cc2ccccc2)c2ccc3ccccc3c2)n2ncnc2n1,93000.0
CHEMBL486490,Cc1cc(N(C)c2ccc3ccccc3c2)n2ncnc2n1,3000.0
CHEMBL486489,Cc1nc2ncnn2c(Nc2ccc3ccccc3c2)c1C,160.0
CHEMBL484294,CCc1cc(Nc2ccc3ccccc3c2)n2ncnc2n1,190.0
CHEMBL519836,FC(F)(F)c1cc(Nc2ccc3ccccc3c2)n2ncnc2n1,210.0
CHEMBL1450,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,10000.0
CHEMBL567597,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@]32OO4,10000.0
CHEMBL275638,O=c1cc(-c2ccccc2)oc2ccccc12,10000.0
CHEMBL429023,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,10000.0
CHEMBL481680,[Cl-].c1ccc([I+]c2ccccc2)cc1,10000.0
CHEMBL397686,[Cl-].c1ccc2c(c1)[I+]c1ccccc1-2,10000.0
CHEMBL224182,CCCCCCCCCCCCc1cc(=O)c2ccccc2n1O,4000.0
CHEMBL211501,CCCCCC[C@H]1C(=O)O[C@H](C)[C@H](NC(=O)c2cccc(NC=O)c2O)C(=O)O[C@@H](C)[C@@H]1OC(=O)CC(C)C,10000.0
CHEMBL483995,CCOc1cccc(-c2ccc(NC(=O)/C(C#N)=C(/C)O)cc2)c1,182400.0
CHEMBL483994,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2)cc1Cl,51100.0
CHEMBL484531,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2Cl)cc1,47400.0
CHEMBL505315,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2Cl)cc1,27200.0
CHEMBL520008,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2)c(Cl)c1,236600.0
CHEMBL484780,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2Cl)c(Cl)c1,165000.0
CHEMBL484602,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2)cc1C(F)(F)F,57200.0
CHEMBL484595,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2)cc1Cl,49100.0
CHEMBL484594,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2c(Cl)cccc2Cl)cc1Cl,10200.0
CHEMBL520999,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2cccc(Cl)c2Cl)cc1Cl,9900.0
CHEMBL483161,COc1ccccc1-c1ccc(NC(=O)/C(C#N)=C(/C)O)c(Cl)c1,8600.0
CHEMBL520306,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2Cl)cc1C(F)(F)F,6200.0
CHEMBL483552,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2Cl)cc1Cl,4000.0
CHEMBL142996,N#C/C(C(=O)Nc1ccc(-c2ccccc2)cc1)=C(/O)C1CC1,223600.0
CHEMBL519160,C/C(O)=C(\C#N)C(=O)Nc1ccc(-c2ccccc2)cc1,25700.0
CHEMBL141732,N#C/C(C(=O)Nc1ccc(C(F)(F)F)cc1)=C(/O)C1CC1,92500.0
CHEMBL586157,Cc1cc(Nc2ccc3c(c2)CCC3)n2ncnc2n1,220.0
CHEMBL1784578,Cc1cc(Nc2ccc3c(c2)CCCC3)n2ncnc2n1,64.0
CHEMBL1784577,Cc1cc(Nc2cc(F)c(C(F)(F)F)c(F)c2)n2ncnc2n1,190.0
CHEMBL1784576,Cc1cc(Nc2ccc(C(F)(F)F)c(C(F)(F)F)c2)n2ncnc2n1,540.0
CHEMBL1784575,Cc1cc(Nc2ccc(Cl)c(F)c2)n2ncnc2n1,550.0
CHEMBL1784574,Cc1cc(Nc2ccc(C(C)(C)C)c(F)c2)n2ncnc2n1,35.0
CHEMBL1784573,Cc1cc(Nc2ccc(C(C)(C)C#N)cc2)n2ncnc2n1,1000.0
CHEMBL1784572,Cc1cc(Nc2ccc(OC(C)(C)C)cc2)n2ncnc2n1,44000.0
CHEMBL1784571,Cc1cc(Nc2ccc(NC(C)(C)C)cc2)n2ncnc2n1,50000.0
CHEMBL1784570,Cc1cc(Nc2ccc(N3CCOCC3)cc2)n2ncnc2n1,100000.0
CHEMBL1784569,Cc1cc(Nc2ccc(N3CCCC3)cc2)n2ncnc2n1,3500.0
CHEMBL582694,Cc1cc(Nc2ccc(N(C)C)cc2)n2ncnc2n1,820.0
CHEMBL1784568,Cc1cc(Nc2ccc(OCc3ccccc3)cc2)n2ncnc2n1,5400.0
CHEMBL1784567,Cc1cc(Nc2ccc(S(F)(F)(F)(F)F)cc2)n2ncnc2n1,130.0
CHEMBL1784566,Cc1cc(Nc2ccc(SC(F)(F)F)cc2)n2ncnc2n1,610.0
CHEMBL1784565,Cc1cc(Nc2ccc(CC(F)(F)F)cc2)n2ncnc2n1,2500.0
CHEMBL1784564,C#Cc1ccc(Nc2cc(C)nc3ncnn23)cc1,1100.0
CHEMBL1784563,C=Cc1ccc(Nc2cc(C)nc3ncnn23)cc1,800.0
CHEMBL1784562,Cc1cc(Nc2ccc(C3CC3)cc2)n2ncnc2n1,420.0
CHEMBL1784561,Cc1cc(Nc2ccc(C(C)(C)C)cc2)n2ncnc2n1,78.0
CHEMBL600255,Cc1cc(Nc2ccc(C(C)C)cc2)n2ncnc2n1,220.0
CHEMBL1784560,CCCCCCCCc1ccc(Nc2cc(C)nc3ncnn23)cc1,50000.0
CHEMBL1784559,CCCCCCCc1ccc(Nc2cc(C)nc3ncnn23)cc1,24000.0
CHEMBL1784558,CCCCCCc1ccc(Nc2cc(C)nc3ncnn23)cc1,4200.0
CHEMBL1784557,CCCCCc1ccc(Nc2cc(C)nc3ncnn23)cc1,820.0
CHEMBL1784556,CCCCc1ccc(Nc2cc(C)nc3ncnn23)cc1,280.0
CHEMBL1784555,CCCc1ccc(Nc2cc(C)nc3ncnn23)cc1,990.0
CHEMBL1714424,CCc1ccc(Nc2cc(C)nc3ncnn23)cc1,610.0
CHEMBL1784579,Cc1cc(Nc2ccc3c(c2)OCO3)n2ncnc2n1,1600.0
CHEMBL1784580,Cc1cc(Nc2ccc3sccc3c2)n2ncnc2n1,90.0
CHEMBL1784581,Cc1cc(Nc2ccc3[nH]c(C(F)(F)F)nc3c2)n2ncnc2n1,21000.0
CHEMBL1784589,Cc1cc(NC2Cc3ccccc3C2)n2ncnc2n1,500.0
CHEMBL1784593,Cc1cc(NC2CCc3ccccc3C2)n2ncnc2n1,540.0
CHEMBL1784590,Cc1cc(NC2Cc3ccc(F)cc3C2)n2ncnc2n1,610.0
CHEMBL1784594,Cc1cc(NC2CCc3cc(F)ccc3C2)n2ncnc2n1,630.0
CHEMBL1784595,Cc1cc(NC2CCc3cc(Cl)ccc3C2)n2ncnc2n1,670.0
CHEMBL1784591,Cc1cc(NC2Cc3ccc(Br)cc3C2)n2ncnc2n1,1200.0
CHEMBL1784592,COc1cc2c(cc1OC)CC(Nc1cc(C)nc3ncnn13)C2,4600.0
CHEMBL1784710,CCCCCCCNc1cc(C)nc2ncnn12,8600.0
CHEMBL1784708,Cc1cc(NCCc2ccccc2)n2ncnc2n1,15000.0
CHEMBL1784709,Cc1cc(NCCCc2ccccc2)n2ncnc2n1,26000.0
CHEMBL1784588,Cc1cc(NC2CCCCCCCCCCC2)n2ncnc2n1,58000.0
CHEMBL1784582,Cc1cc(NC2CC2)n2ncnc2n1,100000.0
CHEMBL1784583,Cc1cc(NC2CCC2)n2ncnc2n1,100000.0
CHEMBL1784584,Cc1cc(NC2CCCC2)n2ncnc2n1,100000.0
CHEMBL1784585,Cc1cc(NC2CCCCC2)n2ncnc2n1,100000.0
CHEMBL1784586,Cc1cc(NC2CCCCCC2)n2ncnc2n1,100000.0
CHEMBL1784587,Cc1cc(NC2CCCCCCC2)n2ncnc2n1,100000.0
CHEMBL1784596,Cc1cc(NOc2ccccc2)n2ncnc2n1,100000.0
CHEMBL1529387,Cc1cc(NCc2ccccc2)n2ncnc2n1,100000.0
CHEMBL1784706,Cc1cc(NCc2ccc(F)cc2)n2ncnc2n1,100000.0
CHEMBL1784707,Cc1cc(NCc2ccc(C(F)(F)F)cc2)n2ncnc2n1,100000.0
CHEMBL1784711,CCc1cc(Nc2ccc(C(F)(F)F)cc2)n2ncnc2n1,780.0
CHEMBL1784712,FC(F)(F)c1ccc(Nc2cc(C(F)(F)F)nc3ncnn23)cc1,1700.0
CHEMBL1784713,FC(F)(F)c1ccc(Nc2cc(Cl)nc3ncnn23)cc1,170.0
CHEMBL1784714,CCc1c(C)nc2ncnn2c1Nc1ccc(C(C)C)cc1,1700.0
CHEMBL1784715,CCc1c(C)nc2ncnn2c1Nc1ccc(OC(F)(F)F)cc1,3200.0
CHEMBL1784716,CCCc1c(C)nc2ncnn2c1Nc1ccc(C)cc1,100000.0
CHEMBL1784717,Cc1ccc(Nc2c3c(nc4ncnn24)CCC3)cc1F,1400.0
CHEMBL1956499,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2nc(CCO)nc2n1,930.0
CHEMBL1956498,Cc1cc(Nc2cccc(Cl)c2)n2nc(CO)nc2n1,6100.0
CHEMBL1956497,Cc1cc(Nc2ccc(Cl)cc2)n2nc(CO)nc2n1,5300.0
CHEMBL1956496,Cc1cc(Nc2ccc(Cl)cc2)n2nc(CCN)nc2n1,10000.0
CHEMBL1956495,CNCc1nc2nc(C)cc(Nc3cccc(Cl)c3)n2n1,10000.0
CHEMBL1956494,Cc1cc(Nc2cccc(Cl)c2)n2nc(CN)nc2n1,10000.0
CHEMBL1956493,Cc1cc(Nc2cccc(Cl)c2)n2nc(CN(C)C)nc2n1,10000.0
CHEMBL1956492,CNCCc1nc2nc(C)cc(Nc3cccc(Cl)c3)n2n1,10000.0
CHEMBL1956491,Cc1cc(Nc2ccc(Cl)cc2)n2nc(CN(C)C)nc2n1,10000.0
CHEMBL1956490,CNCc1nc2nc(C)cc(Nc3ccc(Cl)cc3)n2n1,10000.0
CHEMBL1956489,Cc1cc(Nc2ccc(Cl)cc2)n2nc(CN)nc2n1,10000.0
CHEMBL1956488,CNCCc1nc2nc(C)cc(Nc3ccc(Cl)cc3)n2n1,10000.0
CHEMBL1956487,Cc1cc(Nc2cccc(Cl)c2)n2[nH]c(=O)nc2n1,10000.0
CHEMBL1956486,Cc1cc(Nc2ccc(Cl)cc2)n2[nH]c(=O)nc2n1,10000.0
CHEMBL1956485,Cc1cc(Nc2ccc(Cl)cc2)n2nc(OCCN)nc2n1,10000.0
CHEMBL1956484,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2nc(OCCN)nc2n1,10000.0
CHEMBL1956483,Cc1cc(Nc2cccc(Cl)c2)n2nc(OCCN)nc2n1,10000.0
CHEMBL1956482,Cc1cc(Nc2ccc(S(F)(F)(F)(F)F)cc2)n2nc(OCCN(C)C)nc2n1,10000.0
CHEMBL1956481,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2nc(OCCN(C)C)nc2n1,10000.0
CHEMBL1956480,Cc1cc(Nc2cccc(Cl)c2)n2nc(OCCN(C)C)nc2n1,10000.0
CHEMBL1956479,Cc1cc(Nc2ccc(Cl)cc2)n2nc(OCCN(C)C)nc2n1,10000.0
CHEMBL1955872,CNCCOc1nc2nc(C)cc(Nc3ccc(S(F)(F)(F)(F)F)cc3)n2n1,10000.0
CHEMBL1956478,CNCCOc1nc2nc(C)cc(Nc3ccc(C(F)(F)F)cc3)n2n1,10000.0
CHEMBL1956477,CNCCOc1nc2nc(C)cc(Nc3cccc(Cl)c3)n2n1,10000.0
CHEMBL1956476,CNCCOc1nc2nc(C)cc(Nc3ccc(Cl)cc3)n2n1,10000.0
CHEMBL1956475,COCCOc1nc2nc(C)cc(Nc3cccc(Cl)c3)n2n1,4900.0
CHEMBL1956474,COCCOc1nc2nc(C)cc(Nc3ccc(Cl)cc3)n2n1,10000.0
CHEMBL1956473,CCOc1nc2nc(C)cc(Nc3ccc(S(F)(F)(F)(F)F)cc3)n2n1,57.0
CHEMBL1956472,CCOc1nc2nc(C)cc(Nc3ccc(C(F)(F)F)cc3)n2n1,56.0
CHEMBL1956471,CCOc1nc2nc(C)cc(Nc3ccc(Cl)cc3)n2n1,270.0
CHEMBL1956470,CCOc1nc2nc(C)cc(Nc3cccc(Cl)c3)n2n1,400.0
CHEMBL1956469,COc1nc2nc(C)cc(Nc3ccc(Cl)cc3)n2n1,460.0
CHEMBL1956468,COc1nc2nc(C)cc(Nc3cccc(Cl)c3)n2n1,500.0
CHEMBL1956467,Cc1cc(Nc2ccc(S(F)(F)(F)(F)F)cc2)n2nc(S(C)(=O)=O)nc2n1,110.0
CHEMBL1956466,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2nc(S(C)(=O)=O)nc2n1,90.0
CHEMBL1956305,Cc1cc(Nc2cccc(Cl)c2)n2nc(S(C)(=O)=O)nc2n1,160.0
CHEMBL1956304,Cc1cc(Nc2ccc(Cl)cc2)n2nc(S(C)(=O)=O)nc2n1,45.0
CHEMBL1956303,CSc1nc2nc(C)cc(Nc3ccc(S(F)(F)(F)(F)F)cc3)n2n1,30.0
CHEMBL1956302,CSc1nc2nc(C)cc(Nc3ccc(C(F)(F)F)cc3)n2n1,36.0
CHEMBL1956301,CSc1nc2nc(C)cc(Nc3cccc(Cl)c3)n2n1,26.0
CHEMBL1956300,CSc1nc2nc(C)cc(Nc3ccc(Cl)cc3)n2n1,30.0
CHEMBL1956299,COCCc1nc2nc(C)cc(Nc3ccc(S(F)(F)(F)(F)F)cc3)n2n1,2500.0
CHEMBL1956298,COCCc1nc2nc(C)cc(Nc3ccc(C(F)(F)F)cc3)n2n1,2500.0
CHEMBL1956297,COCCc1nc2nc(C)cc(Nc3cccc(Cl)c3)n2n1,10000.0
CHEMBL1956296,COCCc1nc2nc(C)cc(Nc3ccc(Cl)cc3)n2n1,10000.0
CHEMBL1956295,COCc1nc2nc(C)cc(Nc3ccc(S(F)(F)(F)(F)F)cc3)n2n1,390.0
CHEMBL1956294,COCc1nc2nc(C)cc(Nc3ccc(C(F)(F)F)cc3)n2n1,410.0
CHEMBL1956293,COCc1nc2nc(C)cc(Nc3cccc(Cl)c3)n2n1,1700.0
CHEMBL1956292,COCc1nc2nc(C)cc(Nc3ccc(Cl)cc3)n2n1,2200.0
CHEMBL1956291,Cc1cc(Nc2ccc(S(F)(F)(F)(F)F)cc2)n2nc(C(F)(F)F)nc2n1,30.0
CHEMBL1956290,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2nc(C(F)(F)F)nc2n1,35.0
